started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2018-07-08 18:43:14+02:00,2018-07-19 11:08:37+02:00,923123,83,212
2018-07-14 13:07:53+02:00,2018-07-19 10:48:45+02:00,423652,58,58
2018-07-15 23:04:03+02:00,2018-07-20 09:58:33+02:00,384870,7,221
2018-07-20 17:06:22+02:00,2018-07-24 09:44:43+02:00,319100,34,58
2018-08-02 20:04:25+02:00,2018-08-03 22:41:06+02:00,95800,58,3
2018-08-03 16:06:12+02:00,2018-08-06 11:52:33+02:00,243981,75,58
2018-08-08 14:37:11+02:00,2018-08-10 12:16:02+02:00,164331,151,151
2018-08-11 18:32:44+02:00,2018-08-13 10:45:12+02:00,144748,132,221
2018-08-13 11:14:41+02:00,2018-08-15 14:57:59+02:00,186198,7,212
2018-08-21 18:15:08+02:00,2018-08-22 20:42:50+02:00,95262,215,215
2018-08-23 10:05:55+02:00,2018-08-25 03:27:42+02:00,148907,3,34
2018-08-24 18:07:14+02:00,2018-08-28 13:37:49+02:00,329435,131,221
2018-08-25 22:29:17+02:00,2018-08-28 15:45:38+02:00,234981,82,3
2018-08-28 14:30:30+02:00,2018-08-29 16:17:18+02:00,92807,214,221
2018-08-30 15:18:40+02:00,2018-09-04 10:49:39+02:00,415858,34,217
2018-08-30 18:25:34+02:00,2018-09-04 13:07:47+02:00,412933,117,58
2018-08-30 21:17:24+02:00,2018-08-31 21:40:22+02:00,87778,34,34
2018-08-30 23:02:55+02:00,2018-09-01 21:39:31+02:00,167795,151,7
2018-08-31 15:09:35+02:00,2018-09-02 14:24:19+02:00,170083,5,117
2018-09-01 17:01:54+02:00,2018-09-02 20:09:35+02:00,97661,151,33
2018-09-06 17:55:22+02:00,2018-09-11 11:57:34+02:00,410531,34,58
2018-09-07 16:44:35+02:00,2018-09-17 11:36:24+02:00,845509,215,222
2018-09-10 13:29:26+02:00,2018-09-14 13:38:39+02:00,346153,151,157
2018-09-14 13:10:07+02:00,2018-09-17 13:27:06+02:00,260218,87,131
2018-09-14 18:49:16+02:00,2018-09-16 00:14:01+02:00,105884,7,7
2018-09-22 09:29:41+02:00,2018-09-25 12:41:57+02:00,270736,131,75
2018-09-22 13:19:24+02:00,2018-09-24 16:28:29+02:00,184145,82,214
2018-09-22 15:18:12+02:00,2018-09-23 21:54:52+02:00,110199,5,34
2018-09-27 09:59:35+02:00,2018-09-28 15:13:56+02:00,105261,5,7
2018-09-27 12:28:46+02:00,2018-09-29 09:05:42+02:00,160615,83,219
2018-09-27 18:27:04+02:00,2018-09-30 15:30:29+02:00,248604,34,33
2018-09-28 15:37:12+02:00,2018-10-04 11:00:01+02:00,501769,7,222
2018-10-08 17:37:08+02:00,2018-10-09 23:03:54+02:00,106005,7,33
2018-10-11 11:16:03+02:00,2018-10-12 16:50:19+02:00,106456,220,156
2018-10-17 17:37:09+02:00,2018-10-19 13:26:21+02:00,157752,214,131
2018-10-17 21:46:41+02:00,2018-10-19 13:41:59+02:00,143717,34,7
2018-10-20 14:07:22+02:00,2018-10-23 11:17:10+02:00,248987,33,33
2018-10-26 17:01:57+02:00,2018-10-30 12:51:52+01:00,334194,49,222
2018-10-26 23:43:57+02:00,2018-11-01 12:42:13+01:00,482295,157,33
2018-11-01 08:35:09+01:00,2018-11-12 11:50:53+01:00,962143,222,58
2018-11-06 11:01:32+01:00,2018-11-12 11:54:24+01:00,521571,116,58
2018-11-17 13:05:58+01:00,2018-11-22 09:41:39+01:00,419741,58,221
2018-11-21 10:08:16+01:00,2018-11-22 22:44:17+01:00,131761,7,83
2018-11-21 20:00:11+01:00,2018-11-26 12:54:10+01:00,406438,33,151
2018-11-24 20:41:55+01:00,2018-11-26 09:58:10+01:00,134175,220,87
2018-12-08 13:11:26+01:00,2018-12-10 13:02:19+01:00,172253,140,151
2018-12-08 21:33:16+01:00,2018-12-10 09:18:05+01:00,128689,58,220
2018-12-18 12:44:08+01:00,2019-01-02 10:46:15+01:00,1288927,212,58
2018-12-20 13:20:19+01:00,2018-12-21 14:28:27+01:00,90488,58,223
2019-01-03 17:32:10+01:00,2019-01-09 15:22:55+01:00,510645,151,157
