station_id,station_name,station_description,station_latitude,station_longitude
467,UIP,Resepsjonen,59.91031,10.749498
805,Lille Øvregate,Like inn fra Fløybanen,60.3959732073732,5.328479909747102
821,Bergen Bysykkel Workshop,Bergen Bysykkel Headquarters,60.37148553823224,5.34476436507066
801,Dragefjellsbakken,Sydnesgaten x Dragefjellsbakken,60.39017050687001,5.315109424891148
908,Rådstuplassen,Foran det gamle Rådhus,60.39288422289191,5.327415320340492
647,Edvards Grieg vei,Ovenfor busstopp,60.37357695619222,5.341496490750615
1049,Møllendalsbrua,Utenfor Møllendalsveien 62D.,60.37919499040186,5.351004300456282
1888,Bergen Jernbanestasjon II,På venstre side av hovedinngangen til Jernbanestasjonen,60.39066508674793,5.333027169585989
83,Bergen jernbanestasjon,På høyre side av hovedinngangen til Jernbanestasjonen,60.390414110522414,5.332650453823391
223,Rådhuset,Ved Festplassen ,60.39172569446802,5.327922352341403
2,Årstad kirke,Årstad Kirke ved Haukeland sykehus,60.375135499089,5.351555135112591
1887,Puddefjordsbroen,ved Bredalsmarken 15,60.38591618700343,5.319206933440256
1898,Kronstad,Ved Bergen frikirke,60.3720506380196,5.352659970408496
1895,Kirkegaten,Ved Kirkegaten 1,60.40568787342849,5.325658910381037
1899,Camilla Colletts gate,Ved Bjørnsons gate 28b,60.37214138801542,5.346568012885058
70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
1816,Hansaparken,I gangtunell ved butikk,60.38604412210008,5.349253890141261
82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857
1900,Tonningneset,ved Møllendalsveien 31,60.37957605699612,5.344655017198988
1890,Christian Michelsens institutt,Nær Jekteviksbakken 31,60.38971028611195,5.314041873201262
151,Småstrandgaten,ved Xhibiton,60.39309812241306,5.327022724925882
800,Magnus Lagabøtes Plass,Utenfor Det Juridiske Fakultet,60.38972226200196,5.314854189834826
2321,Damsgårdsveien 125,I parkering garasje ,60.38422650043981,5.3114871140229525
2314,Kalfarveien 31,Ved parkeringsplass på nedsiden av bygget ,60.388242218095,5.34094712971887
646,Bjørnsonsgate,Ved Årstad VGS,60.373985939857135,5.342082137178068
645,Odontologen,Utenfor Odentologen,60.38103776618004,5.35905189499951
140,Sandviksbodene,Sjøgaten 2A,60.40569501689435,5.323373526334763
797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643
802,Håkonsgaten,Ved inngang Bergen Kino,60.39118461048114,5.318026298282803
7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266
1044,Geofysen,Utenfor Bymiljøetaten,60.38429376979795,5.330450845972905
98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735
811,Amalie Skrams vei Nord,Amalie Skrams vei 25,60.410929182460585,5.324662770153282
87,AdO arena,Ved Amalie Skram vgs og Store Lungegårdsvann,60.38543124330305,5.337431780062616
1889,Nordnes Sjøbad,Ved inngang til Sjøbadet,60.3992308109043,5.302344558881117
1047,Welhavens gate 64,Langs gatetun,60.38445114789948,5.324440726278226
220,Møllendalsplass,ved KMD Fakultetet,60.379685765470725,5.3519936304809335
298,Østre Murallmenningen øvre,Østre Murallmenningen / Markeveien,60.39397677863768,5.318713236118583
212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022
2346,Gamle Bergen,Utenfor nordre inngang til museet,60.41830821831951,5.309946203281243
367,Haraldsplass,Haraldsplass Diakonale Sykehus,60.37911124360612,5.361202283994771
806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218
1897,NHH,Utenfor hovedinngangen v/sykkelstativ,60.42334343329279,5.303070676006087
641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.331020769519228
642,Bøhmergaten,Magic Hotel,60.37625279587285,5.334276104612741
217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799
798,H.M. Pinnsvinet,Ved statue av Pinnsvinet,60.38808210546723,5.320712071347316
807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.39865649373253,5.3221425864564935
156,Allehelgens plass,ved Politihuset,60.39265146337743,5.328976911981613
790,Busstasjonen 3  Øst,Ved Taxiholdeplass,60.38785633733042,5.334459219764085
1896,Takhagen på Nordnes,På taket av Nordneshallen ,60.39886453454994,5.306410871328268
804,Kode 2,Til høyre for inngang,60.390174061139966,5.324792207669702
808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.38026271377996,5.323223146883635
639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2338,Bontelabo,Innenfor inngang til takgarasje (Kun åpent fra 07:00 til 17:00),60.40175764348675,5.316562300638424
817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.39454985253085,5.327049981572372
368,Festplassen,Festplassen,60.391123958982405,5.325713785893413
792,Busstasjonen 2 Vest,Vis a vis Hotel Scandic Ørnen,60.38828383354144,5.332872680372475
34,Cornerteateret, Ved BI,60.38246949877819,5.32609348920866
644,Solheimsgaten (ved Extra),Utenfor COOP Extra,60.37514055132067,5.338517421420761
75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734
301,Lars Hilles,Lars Hilles gate 18,60.3881178890904,5.331487235597251
812,Hans Hauges gate,Jens Rolfens gate 6,60.40190553013225,5.324747767839426
816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.39514386434325,5.320002322335455
799,HF-Bygget,Sydnesplassen,60.387853713374845,5.318712852428234
131,Gulating,Gulatings plass ved Rådhuset,60.391983600413376,5.32661819461282
810,Amalie Skrams vei Sør,Amalie Skrams vei 1,60.408096993005785,5.325510899047174
809,Skutevikstorget,På sørsiden av torget,60.40222876911276,5.320744723528605
793,Zander Kaaes gate,Zander Kaaes Hotel,60.390108717939874,5.3353874337574325
58,Tårnplass, Tårnplass ved Tinghuset,60.39375532002469,5.3217920958013565
1891,Rosenbergsgaten,I nærheten av Rosenbergsgaten 34,60.38904687509401,5.321882967938819
791,Busstasjonen 4 Sør,Mot ADO,60.38705878935416,5.335633911730724
2336,Møllestranden,Ved badebrygge,60.380044402639385,5.350823586678217
222,Sandviken Brygge,ved Måseskjæret,60.41294568274233,5.320870309021842
1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329
1046,Ole Vigs gate,Ole Vigs Gate 4,60.385922875207626,5.321431717819451
638,Damsgårdsallmenningen,Nede ved kai,60.3867091497868,5.299130112557805
818,Vågsallmenningen,Ved Husfliden,60.393689548634,5.3265806966931
1894,Kong Oscars gate,Ved Kong Oscars gate 36,60.393323250707,5.330654155344547
157,Florida Bybanestopp,ved Florida bybanestopp,60.382254745562825,5.3323324699108525
22,Skur 11,Nord for skur 11,60.39638423113168,5.324169337618514
33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.369179844976586,5.349443793165847
214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
803,Kode 1,Ved Inngang,60.3906427466302,5.324397430398562
219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142
796,Strømgaten,"På hjørne Allégaten, Strømgaten",60.38658238047282,5.326041074182427
789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
221,Sandvikstorget,ved Norges Fiskerimuseum,60.408582102784685,5.322648583141813
132,Nøstetorget,Sukkerhusbryggen,60.39222475946063,5.314881116119068
49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297
815,Gågaten,Strandgaten 60,60.395070112977045,5.31879835082907
3,Grieghallen,Ved Strømgaten / Nygårdsgaten,60.38819667374428,5.328564137089416
1048,Øvre Korskirkeallmenning,På venstre side av allmenning,60.395099485721786,5.328645087376344
788,Danmarksplass,Ved bybanestopp,60.376082994809856,5.339851409058042
1043,Comfort Hotel Bergen,Holbergsallmenningen bussholdeplass,60.39622446162616,5.315384703788823
1893,Haukelandshallen,Nord for inngang til hall,60.37049377702599,5.353846489647282
2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
1892,Neumanns gate II,Nær Neumanns gate 25,60.39097915423838,5.320656172070585
819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
640,Damsgårdsveien,Ved inngang Bunnpris,60.38151150199543,5.319435364152128
69,Laksevåg v/Kirkebukten,Parkeringsplass ved Coop Extra,60.386068777690944,5.3001083072740585
215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525
795,Fosswinckels gate,I gågate,60.38658166593217,5.327978744635743
36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39291769029913,5.323669092809325
8,Haukeland sykehus,Ved HUD-bygget,60.373637920628255,5.35659456239955
814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2313,Solheimsviken,Utenfor Beddingen,60.37708169275558,5.335575458852787
794,St. Jakobs Plass,Langs Folkeuniversitetet,60.38668149584837,5.3309780770646
116,Lysverket,"Gamle Lysverket, ved KODE",60.38962622255798,5.3298637396027
216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365
5,Moxy Hotellet,På sørsiden av hotellet ,60.37878279018753,5.3333274872102265
