started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2019-04-03 18:09:15+02:00,2019-04-05 15:25:18+02:00,162963,625,445
2019-04-04 17:55:17+02:00,2019-04-16 19:10:45+02:00,1041327,574,588
2019-04-05 13:44:18+02:00,2019-04-07 12:50:51+02:00,169592,566,627
2019-04-05 19:50:40+02:00,2019-04-06 21:56:07+02:00,93927,452,527
2019-04-06 14:12:32+02:00,2019-04-19 17:35:59+02:00,1135407,613,532
2019-04-06 14:13:09+02:00,2019-04-07 15:20:20+02:00,90430,385,737
2019-04-06 14:32:14+02:00,2019-04-07 15:57:53+02:00,91538,424,609
2019-04-06 14:59:59+02:00,2019-04-08 07:42:51+02:00,146571,409,465
2019-04-06 17:57:25+02:00,2019-04-14 09:50:20+02:00,661974,478,485
2019-04-06 19:21:05+02:00,2019-04-08 01:09:10+02:00,107285,603,495
2019-04-06 22:28:55+02:00,2019-04-08 19:38:55+02:00,162600,419,511
2019-04-07 13:05:57+02:00,2019-04-08 20:47:39+02:00,114101,399,478
2019-04-07 14:10:14+02:00,2019-04-15 17:33:51+02:00,703417,622,390
2019-04-07 20:16:30+02:00,2019-04-09 07:32:41+02:00,126971,538,479
2019-04-08 15:42:03+02:00,2019-04-10 09:02:44+02:00,148841,378,443
2019-04-09 14:09:09+02:00,2019-04-16 13:59:11+02:00,604201,567,578
2019-04-09 20:25:45+02:00,2019-04-11 19:40:50+02:00,170104,551,434
2019-04-09 20:27:21+02:00,2019-04-17 07:55:28+02:00,646087,462,599
2019-04-10 18:29:51+02:00,2019-04-12 13:15:08+02:00,153916,535,378
2019-04-11 18:04:22+02:00,2019-04-14 23:10:03+02:00,277541,414,412
2019-04-11 22:16:52+02:00,2019-04-14 18:24:20+02:00,245247,435,389
2019-04-12 16:01:51+02:00,2019-04-17 13:43:13+02:00,423681,441,413
2019-04-12 16:59:43+02:00,2019-04-13 21:22:54+02:00,102191,558,404
2019-04-12 18:58:19+02:00,2019-04-15 21:07:09+02:00,266929,387,522
2019-04-12 19:20:48+02:00,2019-04-16 14:59:04+02:00,329896,737,599
2019-04-13 10:51:51+02:00,2019-04-16 19:21:31+02:00,289779,437,430
2019-04-13 11:17:00+02:00,2019-04-14 15:08:55+02:00,100315,478,398
2019-04-13 11:49:33+02:00,2019-04-15 15:44:55+02:00,186922,385,599
2019-04-13 17:58:08+02:00,2019-04-17 18:56:17+02:00,349089,408,619
2019-04-13 20:31:33+02:00,2019-04-26 23:09:08+02:00,1132654,437,436
2019-04-15 07:42:32+02:00,2019-04-23 17:05:02+02:00,724949,398,437
2019-04-15 09:26:34+02:00,2019-04-17 14:11:19+02:00,189884,443,380
2019-04-15 15:00:08+02:00,2019-04-17 11:39:05+02:00,160736,430,599
2019-04-15 20:57:05+02:00,2019-04-19 18:34:30+02:00,337045,456,479
2019-04-17 11:24:05+02:00,2019-04-18 14:36:21+02:00,97936,425,429
2019-04-18 13:41:52+02:00,2019-04-25 17:39:15+02:00,619043,443,522
2019-04-18 22:05:36+02:00,2019-04-20 00:49:16+02:00,96220,557,538
2019-04-18 22:27:47+02:00,2019-04-20 00:40:57+02:00,94390,480,507
2019-04-18 23:14:33+02:00,2019-04-21 13:53:31+02:00,225537,551,421
2019-04-19 10:34:31+02:00,2019-04-20 19:59:12+02:00,120281,511,537
2019-04-19 13:09:41+02:00,2019-04-20 16:57:30+02:00,100068,534,485
2019-04-19 14:36:32+02:00,2019-04-22 21:20:56+02:00,283463,563,407
2019-04-19 18:50:53+02:00,2019-05-01 01:38:42+02:00,974869,485,566
2019-04-20 17:11:48+02:00,2019-04-22 15:02:10+02:00,165022,573,463
2019-04-21 19:29:09+02:00,2019-04-23 05:47:11+02:00,123482,440,538
2019-04-21 21:01:56+02:00,2019-04-23 08:34:45+02:00,127968,551,568
2019-04-22 16:15:50+02:00,2019-05-01 16:55:41+02:00,779991,494,540
2019-04-22 19:04:00+02:00,2019-04-29 11:41:12+02:00,578232,616,419
2019-04-22 19:05:20+02:00,2019-04-29 01:58:16+02:00,543176,616,444
2019-04-23 12:01:01+02:00,2019-04-24 13:02:12+02:00,90070,419,377
2019-04-23 13:51:48+02:00,2019-05-01 22:29:19+02:00,722250,414,414
2019-04-23 17:50:42+02:00,2019-04-25 00:52:16+02:00,111693,494,599
2019-04-23 19:51:31+02:00,2019-04-26 18:49:51+02:00,255499,613,477
2019-04-23 23:38:24+02:00,2019-05-01 20:33:54+02:00,680130,413,380
2019-04-24 21:15:40+02:00,2019-04-25 22:05:38+02:00,89397,438,579
2019-04-25 16:11:12+02:00,2019-04-28 17:40:21+02:00,264549,475,460
2019-04-26 09:08:02+02:00,2019-05-07 08:38:34+02:00,948632,500,593
2019-04-26 13:48:45+02:00,2019-05-01 18:58:16+02:00,450570,448,494
2019-04-26 15:03:45+02:00,2019-05-08 17:31:47+02:00,1045681,419,453
2019-04-26 15:05:22+02:00,2019-05-08 17:29:11+02:00,1045428,419,453
2019-04-26 17:48:59+02:00,2019-04-28 03:10:49+02:00,120109,598,530
2019-04-27 11:27:40+02:00,2019-04-30 13:21:05+02:00,266005,735,381
2019-04-27 22:42:06+02:00,2019-04-29 08:16:18+02:00,120852,478,463
2019-04-28 00:17:30+02:00,2019-04-29 14:17:23+02:00,136792,515,480
2019-04-28 15:40:04+02:00,2019-04-29 21:03:53+02:00,105828,500,465
2019-04-28 15:48:12+02:00,2019-04-29 16:37:43+02:00,89370,460,571
2019-04-28 17:12:21+02:00,2019-04-29 22:21:09+02:00,104927,480,411
2019-04-28 18:42:58+02:00,2019-04-29 20:07:22+02:00,91464,479,526
2019-04-28 20:07:06+02:00,2019-04-29 22:48:21+02:00,96075,577,462
2019-04-29 19:46:55+02:00,2019-04-30 23:12:57+02:00,98762,440,526
2019-04-29 22:34:32+02:00,2019-05-01 04:26:34+02:00,107521,421,545
2019-05-01 13:06:01+02:00,2019-05-02 17:30:06+02:00,102244,449,541
2019-05-02 18:51:11+02:00,2019-05-06 20:50:24+02:00,352753,421,507
2019-05-04 13:35:57+02:00,2019-05-05 19:01:26+02:00,105929,482,600
2019-05-04 14:53:20+02:00,2019-05-10 17:40:42+02:00,528442,406,401
2019-05-05 15:17:26+02:00,2019-05-06 15:26:24+02:00,86937,597,597
2019-05-05 16:12:11+02:00,2019-05-16 14:20:47+02:00,943715,534,454
2019-05-06 20:17:42+02:00,2019-05-08 07:10:57+02:00,125595,485,460
2019-05-07 14:27:40+02:00,2019-05-09 01:52:17+02:00,127477,386,564
2019-05-08 18:11:06+02:00,2019-05-16 01:16:34+02:00,630328,421,502
2019-05-08 20:27:40+02:00,2019-05-10 10:02:50+02:00,135310,734,569
2019-05-08 21:17:37+02:00,2019-05-19 20:24:54+02:00,947237,398,598
2019-05-08 22:49:03+02:00,2019-05-11 14:57:35+02:00,230912,408,497
2019-05-09 07:43:31+02:00,2019-05-11 18:31:54+02:00,211702,464,480
