station_id,station_name,station_description,station_latitude,station_longitude
515,Olav Vs gate,Nord for Kronprinsesse Märthas plass,59.912918,10.732121
538,Bernt Ankers gate,ved Storgata,59.9147887,10.7537068
419,Storgata,i starten av Youngs gate,59.9141252,10.751824
528,Nedre Slottsgate,ved Grensen,59.913245,10.743669
492,Goethe Institut,ved Grønland,59.9131792,10.7607798
386,Slemdalsveien,ved Frogner seniorarena,59.930596,10.714778
395,Frogner Tennisklubb,ved inngangen til tennisbanen,59.9261831,10.7098327
566,Hoff terrasse holdeplass,langs Hoffsveien,59.9272941,10.6755714
734,Nylandsveien,ved Urtegata,59.9156603,10.7622812
517,Tåsenløkka,langs Uelands gate,59.9433939,10.7482848
494,Rådhusbrygge 4,ved Nesoddbåten,59.9108469,10.7303766
477,Møllergata,rett over Youngstorget,59.91537003977052,10.748493387102522
422,St. Hanshaugen,langs Waldemar Thranes gate,59.923703,10.740542
587,Riddervoldplass,ved Camilla Colletts vei,59.9191421,10.7196414
625,Spikersuppa Øst,ved Stortinget,59.91336,10.737663
430,Spikersuppa Vest,ved Nasjonalteateret,59.91372007130073,10.735886645853412
527,Biskop Gunnerus' gate,ved Oslo City,59.9123341,10.752292
545,Arkaden Sør,langs Dronningens gate,59.9119691,10.7478583
498,HasleLinje,ved Anders Winsvolds vei,59.92763407981436,10.799249379762283
1101,Stortingstunellen,langs Rådhusgata,59.91065301806209,10.737365277561024
571,Over Rådhusgata,langs Nedre Slottsgate,59.9101207,10.7407129
445,Sjølyst,Drammensveien ved rundkjøring,59.921673,10.67666
1919,Kværnerveien,Ved Kværnerveien 5,59.90591083488326,10.778592132296495
429,Thune,ved bomringen,59.92208,10.68588
2329,Via Vika,mellom bygningene ved Via Vika,59.91271286014364,10.727170827087008
2280,Klingenberggata,By Olav V street,59.913150534075015,10.732281291700131
474,Blindern studentparkering,rett ved Blindern Studenterhjem,59.940873733543725,10.720778851520524
619,Bak Niels Treschows hus nord,ved parkeringsplassen,59.94278024854256,10.722993731144015
482,Nydalen,langs Gjerdrums vei,59.952868,10.766483
496,Fysikkbygningen,ved Sem Sælands vei,59.937957367051965,10.719488529430388
466,Ullevålsalléen,langs Sognsveien,59.937913,10.73048
562,Slottsparken Øst,ved Nordraaks plass,59.917485,10.732128
526,Lille Grensen,Ved Akersgata,59.9138973,10.7423101
2347,Huk 2,stativ nærmest stranden (markert 2),59.89843428245928,10.674398461025874
441,Vippetangen øst,nærmest Operaen,59.903989,10.741077
575,Sognsveien,ved Ullevål Stadion T-bane,59.94743324225673,10.732569703704817
524,Volvat,langs Sørkedalsveien,59.9330870371029,10.703967938028702
1009,Borgenveien,ved Holmenveien,59.94274210647367,10.70383303125402
449,Ruseløkkgården,langs Løkkeveien,59.91357497092093,10.726229742333288
377,Tøyenparken,ved Caltexløkka,59.915667,10.7775665
541,Langkaia,langs Rådhusgata,59.9080552,10.7479977
509,Kjeld Stubs gate,ved hjørnet Tordenskiolds gate,59.912711,10.735595
609,Fred Olsens gate,ved Karl Johans gate,59.9110506,10.7493737
616,Salt,ved Langkaia,59.90692216719828,10.746530272588243
787,Kirkegata 15,ved Kunnskapsdepartamentet,59.91015615055511,10.743456971511703
437,Sentrum Scene,ved Arbeidersamfunnets plass,59.91546786564256,10.751140873016311
491,Brugata,ved Chr Kroghs gate,59.91366109486603,10.75729364846211
381,Grønlands torg,ved Tøyenbekken,59.91252,10.76224
465,Bjørvika,under broen Nylandsveien,59.909006,10.75618
589,Huk 1,stativ nærmest busstopp (markert 1),59.89853221724158,10.674403950323182
742,Hasle,langs Økernveien,59.924342,10.79285
573,Tordenskiolds gate,ved Rådhusgata,59.91177629920927,10.735113005880237
414,Kontraskjæret,ved Christiania Torv,59.910242,10.73857
495,Vaterlandsparken,langs Brugata,59.91351552854147,10.757334670552268
627,Skøyen Stasjon,langs Hoffsveien,59.922723981014094,10.67862514536896
396,Kirkeristen,ved Torggata,59.91300035973293,10.746760585982289
2328,The Hub,Mellom Oslo City og The Hub hotel,59.91252237023375,10.750910185807754
577,Arkaden Nord,langs Dronningens gate,59.9121472,10.7480527
623,7. juni-plassen,langs Henrik Ibsens gate,59.9150596,10.7312715
392,Sjøsiden ved fontenen,Oslo S,59.91018085263352,10.751698750995615
2333,Akerselvallmenningen,øst for Operaen,59.90725889890288,10.75488466358962
618,Bak Niels Treschows hus sør,nærmest trikkestopp,59.94247260310697,10.723715245368956
405,Frognerbadet,langs Middelthuns gate,59.92808,10.708767
511,Henrik Ibsens gate,ved Parkveien,59.915088,10.7222803
553,Skråninga,ved Torggata,59.9139786,10.7474667
388,Skovveien,langs Frognerveien,59.9163309,10.716349
523,Tøyenbekken,ved Rubina Ranas gate,59.9115945,10.7617736
549,Linaaes gate,langs Møllergata,59.91382393242077,10.745704482209018
2305,Hesselbergs Gate,ved Toftes Gate,59.92774803110845,10.761265771390583
555,Griffenfeldts gate,ved Colletts gate,59.9337026,10.7519299
489,Torggata,ved Bernt Ankers gate,59.91598309274519,10.75155119076095
547,Skippergata,ved Karl Johans gate,59.9112227,10.7481976
2339,Elgsletta,langs Nylandsveien,59.91564920880896,10.761724502548104
574,Annette Thommessens Plass,langs Schweigaards gate,59.9107393,10.7609998
500,Anker Hotel,langs Storgata,59.9172794,10.7581553
475,Hausmanns bru,langs Nylandsveien,59.9146509,10.7598719
606,Stockfleths gate,ved Griffenfeldts gate,59.9339754,10.7521029
557,Akersgata,ved Grensen,59.9141971,10.7428828
578,Hallings gate,langs Dalsbergstien,59.922777,10.738655
501,Krebs' gate,ved Vogts gate,59.935995,10.765413
394,Bjølsen Studentby,ved rundkjøringen,59.943777539367225,10.760121127577955
543,Fyrstikktorget,ved Karoline Kristiansens vei,59.91381587564694,10.798093360118871
415,Sinsenveien,ved Kongehellegata,59.929542,10.781053
554,Tåsen Senter,ved Rolf Wickstrøms vei,59.952659,10.751165
432,St. Hanshaugen park sør,ved dammen,59.924821,10.739909
409,John Colletts plass,ved Sognsveien,59.940398,10.730036
548,Colbjørnsens gate,ved Skovveien,59.91731888534716,10.716909039918278
624,Dælenenggata,ved Fagerheimgata,59.9287502718149,10.767546377298158
462,Stensparken,ved Sporveisgata,59.92714,10.730981
2309,Ulven Torg,"innenfor byggegjerdene, sør for Ulvenveien",59.92472050943934,10.810727302805304
472,Arendalsgata,over veien fra Sagen Kirke,59.9378,10.7541
452,Vippetangen vest,nærmest Rådhuset,59.903989,10.740627
397,Storo Storsenter,langs Vitaminveien,59.94671044754387,10.773805285879131
537,St. Olavs gate,ved Pilestredet,59.9179676629428,10.738628884264756
407,Sagene bussholdeplass,langs Kierschovs gate,59.937743,10.751648
739,Hammersborg Torg,langs Møllergata,59.91652053839767,10.749202233135232
970,Enerhaugen,ved Sørligata,59.91320242563816,10.767579386407874
601,Rolf Wickstrøms vei,ved Bergrådveien,59.9534114,10.7577241
403,Parkveien,ved trikkestoppet,59.921768,10.730476
461,Vålerenga,langs Ingeborgs gate,59.908576,10.786856
380,Bentsebrugata,rett over busstoppet,59.93923,10.75917
560,Gaustad T-bane,langs Slemdalsveien,59.945955,10.710392
746,Bygdøy allé,ved parkeringsplassen,59.919001,10.692321
612,Ensjøveien,ved turvei,59.91662195885618,10.783309055819714
2270,Lørenporten,på torget utenfor Parallell,59.92871096669328,10.79991480182082
457,Trondheimsveien,ved trikkestoppet,59.9230577,10.7717192
459,Valkyrieplassen,ved Bogstadveien,59.9281319,10.71842
485,Sommerfrydhagen,langs Jens Bjelkes gate,59.911453,10.776072
599,Paléhaven,langs Strandgata,59.910331,10.75011
518,Ullevålsveien,ved taxi stoppen,59.9246852,10.7395045
602,Jarlsborgveien,ved Hoffsveien,59.9304645,10.6757833
471,Marienlyst,ved bensinstasjon,59.932432498521095,10.721762294477472
592,Badebakken,langs Maridalsveien,59.94558091179507,10.760323881579982
