started_at_dt,ended_at_dt,duration,start_station_id,end_station_id
2018-05-15 14:13:53+02:00,2018-05-18 13:53:53+02:00,257999,28,35
2018-05-27 07:02:28+02:00,2018-05-30 17:14:04+02:00,295895,28,52
2018-05-27 13:47:22+02:00,2018-05-30 12:58:36+02:00,256274,21,21
2018-05-28 14:07:50+02:00,2018-05-30 18:24:23+02:00,188192,28,126
2018-05-30 17:59:01+02:00,2018-06-04 12:47:55+02:00,413334,19,35
2018-06-04 10:43:13+02:00,2018-06-05 11:14:12+02:00,88259,28,20
2018-06-08 17:59:55+02:00,2018-06-10 03:03:11+02:00,118996,1,6
2018-06-18 15:27:56+02:00,2018-08-14 10:29:21+02:00,4906885,20,209
2018-06-20 10:23:43+02:00,2018-06-28 11:09:22+02:00,693939,118,20
2018-06-22 21:20:01+02:00,2018-06-25 09:45:41+02:00,217540,30,85
2018-06-26 14:13:09+02:00,2018-07-09 10:29:48+02:00,1109798,21,20
2018-06-26 17:51:30+02:00,2018-06-27 21:02:48+02:00,97878,74,20
2018-06-29 13:39:51+02:00,2018-07-04 10:20:35+02:00,420043,6,6
2018-06-30 12:58:15+02:00,2018-07-11 12:35:20+02:00,949025,94,35
2018-07-01 09:51:22+02:00,2018-07-11 12:40:39+02:00,874157,35,35
2018-07-02 17:20:44+02:00,2018-08-13 14:24:51+02:00,3618247,19,209
2018-07-05 16:42:35+02:00,2018-07-26 09:40:51+02:00,1789095,52,35
2018-07-05 17:36:33+02:00,2018-07-13 15:19:18+02:00,682965,52,55
2018-07-16 14:48:44+02:00,2018-08-13 12:54:19+02:00,2412334,66,209
2018-07-21 18:35:37+02:00,2018-07-23 09:50:57+02:00,141320,6,51
2018-07-27 14:11:38+02:00,2018-08-02 13:56:57+02:00,517519,51,25
2018-07-27 22:49:39+02:00,2018-08-06 13:03:07+02:00,828808,28,66
2018-07-28 23:33:12+02:00,2018-08-08 13:40:52+02:00,914859,19,35
2018-07-30 11:42:53+02:00,2018-07-31 11:46:45+02:00,86631,51,20
2018-08-04 17:37:11+02:00,2018-08-11 10:57:29+02:00,580818,1,25
2018-08-08 07:21:31+02:00,2018-08-14 11:27:13+02:00,533141,107,107
2018-08-08 08:33:48+02:00,2018-08-09 08:49:34+02:00,87346,126,20
2018-08-12 19:00:54+02:00,2018-08-15 08:54:04+02:00,222789,30,86
2018-08-13 10:01:57+02:00,2018-08-17 15:00:59+02:00,363542,44,45
2018-08-16 11:57:12+02:00,2018-08-20 10:01:12+02:00,338639,85,28
2018-08-18 21:26:12+02:00,2018-08-27 13:26:59+02:00,748846,35,108
2018-08-20 08:16:01+02:00,2018-08-21 11:33:01+02:00,98219,126,126
2018-08-20 11:19:36+02:00,2018-08-21 11:40:49+02:00,87672,126,126
2018-08-21 14:08:02+02:00,2018-08-24 09:35:11+02:00,242829,31,35
2018-08-25 18:51:22+02:00,2018-08-27 13:59:25+02:00,155282,108,94
2018-08-26 15:32:34+02:00,2018-08-29 10:36:03+02:00,241409,94,92
2018-08-26 19:23:45+02:00,2018-08-28 19:37:30+02:00,173624,126,123
2018-09-01 15:02:43+02:00,2018-09-03 09:32:04+02:00,152960,74,52
2018-09-18 13:50:20+02:00,2018-09-19 14:25:09+02:00,88488,28,123
2018-09-28 16:23:32+02:00,2018-10-01 12:47:14+02:00,246221,47,41
2018-09-29 17:57:40+02:00,2018-09-30 18:26:17+02:00,88117,123,41
2018-10-05 17:16:32+02:00,2018-10-06 17:40:53+02:00,87861,19,45
2018-10-10 16:09:42+02:00,2018-10-11 16:39:42+02:00,88199,21,41
2018-10-15 08:19:54+02:00,2018-10-16 13:44:31+02:00,105877,47,126
2018-10-15 12:17:57+02:00,2018-10-21 12:49:05+02:00,520267,41,19
2018-10-29 12:11:48+01:00,2018-11-02 11:49:54+01:00,344286,108,108
2018-10-31 18:17:35+01:00,2018-11-02 12:25:21+01:00,151666,45,1
2018-10-31 19:24:19+01:00,2018-11-06 11:14:05+01:00,488986,118,118
2018-11-03 15:23:34+01:00,2018-11-05 12:44:31+01:00,163257,126,76
2018-11-03 23:57:54+01:00,2018-11-05 10:27:14+01:00,124159,51,19
2018-11-05 16:11:07+01:00,2018-11-09 09:28:10+01:00,321422,94,76
2018-11-07 15:25:02+01:00,2018-11-14 14:11:46+01:00,600403,94,55
2018-11-07 15:50:52+01:00,2018-11-13 09:57:37+01:00,497204,180,21
2018-11-08 07:51:47+01:00,2018-11-09 09:07:48+01:00,90960,51,35
2018-11-10 15:23:40+01:00,2018-11-11 17:00:23+01:00,92203,105,20
