station_id,station_name,station_description,station_latitude,station_longitude
84,Travel Dock,Travel Dock,59.91043270267895,10.749478340148926
141,App flex pin,UIP office,59.91039951406085,10.74974123363063
209,fossengrenda flexpin, ,63.388839240694494,10.398023242590398
35,Cicignons plass,Ved Søndre gate,63.432503742934855,10.400386825203896
2324,SLUPPEN TEST,Test,63.39995814907044,10.3970950424104
2325,Sammen for havet,"""Sammen for havet""",63.41592589541594,10.407629667257254
2344,NEON Festival - Inngang Nord,Virtuell stasjon - Fri parkering innenfor avgrensning,63.44184022451549,10.427476544084868
2345,NEON Festival - Hovedinngang,Virtuell stasjon - Fri parkering innenfor avgrensning,63.43948647807304,10.424144353199551
2303,Tempe,Utenfor MAX-bygget i Tempevegen,63.40772802863199,10.39705323440262
155,Kong Øysteins veg,,63.42066281516962,10.437347828255156
1878,Idrettsbygget Gløshaugen,ved Christian Frederiks gate,63.42078238303412,10.4047576414641
110,Valentinlyst,ved Strindheim kirke,63.42545389268059,10.441064536571504
293,S. P. Andersens vei,ved Valgrindvegen,63.40988844886488,10.405212902563903
2302,Holtermanns veg 1,"I Prof. Brochs gate, utenfor Skatteetaten",63.414746566093925,10.397386363673064
31,Tollboden ,ved rundkjøring Havnegata,63.43928560696555,10.40479302406311
148,Fjordgata,Ved 4Sound,63.43483884684911,10.403396522008734
16,Rosenborg skole,Ved Rosenborg skole,63.428896386680805,10.416175670425105
1883,Baldershage,ved Kong Øysteins veg,63.43032895814139,10.453960590206153
4,Dalen hageby,Ved Bussholdeplassen,63.43757529885024,10.44872760772705
41,Vollabakken, Ved Klostergata,63.42193791751501,10.399257121622668
66,Verftsbrua,Ved Brattørbrua,63.43527713641004,10.405813604593275
1881,Sluppen,ved Sluppenvegen 25,63.39840743943492,10.397326759331094
95,Trikkestallen på Lademoen,langs Mellomveien,63.4387315071045,10.430732667446136
18,Møllenberg,langs Innherredsveien ved Kirkegata,63.4358846800558,10.419401004910467
55,Finalebanen,Ved Edvart Griegs gate,63.41978492000792,10.39221078157425
25,Thornesparken ,I Kirkegata ,63.43289961569575,10.412772931158544
56,Falkenborg,Ved Sirkus shopping,63.4362775074396,10.45697271823883
29,Singsaker,Ved Singsaker skole og studenthjem,63.42312115738324,10.412453413009644
10,Sorgenfri,ved Sorgenfriveien 13-15,63.40489658467209,10.399461013433497
105,Trondheim S,Med operativt betjeningspanel.,63.436215184202325,10.39990465658218
1885,Nova Kino,ved Danielsbakerveita,63.43337733865644,10.401074857528158
44,Prinsen kinosenter,ved kryss Prinsens gate/Arkitekt Christies gate,63.42663458755783,10.392784774303436
76,Ilevollen,ved Osloveien,63.42907021700727,10.37181057035923
2301,Rosendal,I krysset Gamle Kongevei x Frostaveien,63.43602574937376,10.430998463879718
86,Lerkendal,  I Strindvegen ved Klæbuveien,63.412525462202666,10.40068656206131
89,Tyholttårnet,langs Harald Bothners veg ved Otto Nielsens veg,63.42221231887555,10.42791183525958
118,Abels gate,Ved Udbyes gate,63.41614341778847,10.396314561367037
74,Erling Skakkes gate, Ved Vår Frues gate,63.42889745011402,10.39928913116455
128,Lillegårdsbakken,Nederst i Lillegårdsbakken,63.42629161886643,10.404109150403997
97,Håkon VIIs gate 8-10,Ved Burgerking,63.440766667542505,10.45927620210125
46,Nidarø,ved rundkjøring utenfor Trondheim Spektrum,63.42646180597998,10.37818819284439
109,Torvet II,Utenfor McDonald's,63.43047091013224,10.393931418657305
51,Skansen, ved kryss Mellomila / Illevollen,63.43040312655968,10.37476971745491
62,Kalvskinnet,Kalvskinnsgata/Erling Skakkes gate,63.42792321730192,10.389504432678224
236,Lade idrettsanlegg vest,Ved Lade idrettsanlegg,63.446059058709096,10.443941575866347
1882,Lilleby,i Dakotaparken,63.44178275700753,10.439477124178213
126,Leutenhaven,i Repslagerveita mot Prinsens gate. Operativt betjeningspanel.,63.42994558007871,10.391905842869932
1879,Ilsvika,ved 3T Ilsvika,63.43132548001944,10.35752039427618
133,Høyskoleringen,ved bussholdeplass Gløshaugen. Operativt betjeningspanel.,63.41690080192888,10.406886488199234
14,Nidarosdomen,i Bispegata ved Katedralskolen. ,63.42761001704093,10.394511072969864
65,Strandveikaia,langs Stiklestadveien ved Strandveien,63.44208952370503,10.427939146757126
20,Nordre gate , Ved Olav Tryggvasons gate,63.433085554043984,10.397391468286514
9,Brattørkaia,Ved hurtigbåtterminalen. Operativt betjeningspanel.,63.43740318294613,10.39729356765747
2258,St. Olavs Hospital,Bak kunnskapssenteret,63.42126270770024,10.386516005020496
177,Kristiansten,langs Festningsgata mellom Holbergs gate og Tyholtveien,63.42593349677826,10.41660167758505
92,Dora I, Ved Byarkivet,63.43853720980968,10.419105291366575
85,TMV-odden,Solsiden,63.43547778770301,10.410569131581866
19,Jomfrugateallmenningen,Fjordgata vest,63.43442307498688,10.395468324422836
94,Gløshaugen,øst for Hovedbygningen,63.41939366673445,10.403602123260498
